Filter,Mean,FWHM
FUV,1539.781239938563,224.27929759519043
NUV,2313.8922586271724,791.1897326653307
IB427,4263.445323259467,207.2765531062123
B,4458.3232775359675,892.2945891783561
IB464,4635.1278780926195,218.08517034068154
V,5477.827735387177,954.3048096192388
IB484,4849.195542046894,229.11723446893757
IB505,5062.50708575947,231.50100200400811
IB527,5261.13430320318,242.71342685370746
g,4816.121006056011,1386.6733466933865
IB574,5764.758161946908,272.82464929859725
r,6234.110639241804,1502.9216432865733
IB624,6233.091540397475,299.86873747494974
IB679,6781.125936831469,335.8567134268533
IB709,7073.633617765602,316.2404809619238
IB738,7361.561408239164,323.8206412825657
IB767,7684.893954680487,364.8517034068136
i,7740.579757246365,1553.5683366733465
IB827,8244.525170463558,342.8567134268533
z,8911.510800083466,773.146292585172
y,9779.92802443579,782.9258517034068
Y,10214.187491440625,924.5290581162335
NB118,11907.827515583114,112.18436873747487
J,12534.654487716529,1718.2765531062123
H,16453.410993363606,2903.4068136272526
Ks,21539.88082573931,3075.711422845692
IRAC1,35634.28432713499,7443.6072144288555
IRAC2,45110.129728057684,10119.498997995994
IRAC3,57593.39212428394,14082.224448897796
IRAC4,79594.94847180544,28796.933867735468
MIPS24,236747.51723785553,50346.132264529035
MIPS70,714193.8973576294,188537.73827655322
MIPS160,1558939.3488322329,344677.8777555111
PACS100,1036928.7672083108,364272.54509018036
PACS160,1697691.3266361363,767553.106212425
SPIRE250,2536859.825705622,750971.2336673341
SPIRE350,3557125.9213876263,1039682.6436873749
SPIRE500,5191371.409869207,1972782.9863727456
